prec_mean,Assault,BreakingnEntering,Robbery,Theft,objectidmes,n_crime
4.6612902,181,56,7,174,8-1,467
2.6225805,31,14,0,56,18-1,31
5.2516127,13,7,0,49,4-1,95
3.4903226,257,81,24,415,15-1,1
3.832258,30,9,7,42,12-1,30
2.6129031,8,3,2,35,6-1,85
3.7483871,249,186,68,632,3-1,4
2.5032258,52,27,6,78,1-1,46
5.6774192,4,2,1,7,17-1,4
6.2258067,9,1,3,28,5-1,11
3.7354839,9,3,0,12,9-1,23
5.6161289,33,15,6,119,22-1,201
4.1451612,4,6,0,13,23-1,24
5.6677418,8,4,0,14,19-1,15
3.125,185,59,3,137,8-2,554
2.2750001,30,11,1,51,18-2,30
3.925,7,12,1,39,4-2,127
2.3928571,243,64,24,345,15-2,2
2.3535714,37,8,1,47,12-2,37
1.5821428,14,4,1,34,6-2,85
2.4964285,264,134,33,569,3-2,2
1.625,58,20,3,58,1-2,34
3.8964286,5,2,0,3,17-2,5
3.6428571,14,0,1,19,5-2,8
2.7785714,4,3,0,13,9-2,13
3.3928571,31,12,5,84,22-2,188
2.3107142,6,0,0,15,23-2,29
3.6678572,13,1,0,5,19-2,20
4.803226,237,39,10,135,8-3,428
1.8903226,47,13,2,54,18-3,1
4.6999998,22,4,1,60,4-3,83
3.7870967,291,83,26,396,15-3,2
3.6967742,30,16,5,43,12-3,30
3.2580645,15,1,1,35,6-3,69
3.8870966,277,171,49,752,3-3,2
2.880645,65,18,1,85,1-3,40
4.8903227,4,7,0,14,17-3,4
4.7838707,11,0,0,13,5-3,7
2.7064517,8,3,0,9,9-3,22
3.2258065,46,31,9,125,22-3,162
2.3129032,6,2,0,20,23-3,18
3.9258063,10,1,0,2,19-3,17
3.7266667,201,53,3,185,8-4,488
1.6933333,48,21,1,39,18-4,48
3.6900001,24,13,0,49,4-4,89
4.3366666,276,75,27,450,15-4,1
2.9266667,52,22,1,78,12-4,1
3.0699999,15,11,0,50,6-4,52
3.6766665,326,194,40,761,3-4,1
4.1199999,110,32,4,118,1-4,63
4.2600002,4,4,0,12,17-4,4
3.3366666,15,2,0,29,5-4,8
2.0599999,8,2,0,18,9-4,17
2.3666666,48,33,7,145,22-4,175
1.7733333,10,2,1,17,23-4,18
3.1566665,12,7,0,13,19-4,16
3.2967741,259,58,6,178,8-5,560
2.3193548,43,15,2,50,18-5,43
4.0387096,22,7,1,92,4-5,105
3.9709678,335,86,25,499,15-5,3
2.5967741,71,18,6,46,12-5,1
4.3225808,22,9,4,61,6-5,78
3.0612903,320,239,46,760,3-5,9
3.6225805,92,38,6,105,1-5,70
2.4741936,8,4,0,16,17-5,8
1.916129,9,0,0,16,5-5,9
1.6870967,4,0,0,4,9-5,4
2.2516129,54,32,7,145,22-5,169
2.4516129,13,2,0,15,23-5,16
2.6451614,13,3,1,14,19-5,21
7.0466666,260,82,4,186,8-6,583
3.9866667,44,14,4,63,18-6,1
7.7966666,18,6,1,51,4-6,93
9.5100002,299,97,37,569,15-6,3
5.5533333,55,16,8,40,12-6,1
9.416667,18,6,1,49,6-6,57
7.5466666,336,226,44,699,3-6,9
7.7599998,46,17,3,83,1-6,24
7.4200001,7,5,0,14,17-6,1
7.0700002,7,0,0,20,5-6,11
4.1700001,4,1,0,25,9-6,12
4.8266668,68,21,6,155,22-6,155
3.9866667,6,4,0,23,23-6,20
5.2533336,11,1,0,10,19-6,26
4.4258065,233,54,2,180,8-7,576
3.1870968,47,18,3,62,18-7,47
5.7225804,17,7,2,68,4-7,89
3.635484,333,114,34,562,15-7,3
1.3677419,46,15,6,54,12-7,46
2.8709676,20,12,4,65,6-7,70
2.119355,268,273,55,619,3-7,8
3.7387097,0,0,0,9,1-7,9
3.0096774,7,6,1,12,17-7,7
3.7354839,11,2,0,27,5-7,9
3.2193549,4,2,0,16,9-7,19
4.5580645,74,34,11,162,22-7,176
4.2709675,9,3,1,17,23-7,17
3.5645161,14,2,0,9,19-7,16
3.2354839,213,52,3,228,8-8,460
1.8709677,41,18,0,45,18-8,41
3.7612903,21,17,1,54,4-8,96
2.4129033,330,98,29,600,15-8,330
1.7935485,52,15,5,45,12-8,52
1.9548388,23,10,2,47,6-8,59
2.2548387,290,313,51,748,3-8,10
1.448387,13,1,2,16,1-8,10
2.6483872,10,3,3,16,17-8,10
2.3193548,10,2,0,17,5-8,13
1.5774194,7,2,0,16,9-8,18
1.5354838,63,30,10,162,22-8,142
1.6387097,4,4,0,19,23-8,17
2.1935484,9,3,2,12,19-8,11
4.4200001,202,59,10,178,8-9,376
2.2066667,41,10,5,63,18-9,41
5.0099998,13,11,1,71,4-9,90
2.8933334,308,79,24,630,15-9,2
1.7933333,56,17,5,64,12-9,56
1.9133333,14,4,0,50,6-9,53
2.46,338,289,75,721,3-9,3
4.9333334,0,0,0,0,1-9,2
3.3766668,6,7,0,10,17-9,6
2.0799999,4,6,0,22,5-9,6
1.52,8,3,0,27,9-9,21
1.9566667,46,32,4,146,22-9,124
2.6566668,9,4,0,17,23-9,12
2.8066666,4,4,1,11,19-9,9
5.3387098,242,61,10,181,8-10,491
2.7032259,49,22,4,59,18-10,49
5.787097,10,16,2,71,4-10,103
3.8258064,326,97,40,563,15-10,4
2.9096775,74,11,5,46,12-10,74
3.1612902,15,2,1,57,6-10,67
3.4032259,351,196,54,779,3-10,1
2.167742,0,0,0,0,1-10,1
5.1258063,7,6,1,13,17-10,7
4.9193549,8,0,0,32,5-10,12
2.8032258,3,3,0,13,9-10,11
3.0741935,44,38,10,151,22-10,145
2.7387097,16,2,0,19,23-10,17
4.5903225,21,2,1,13,19-10,12
2.6266665,224,57,12,176,8-11,401
2.1066666,40,16,1,54,18-11,40
3.3799999,19,9,1,49,4-11,86
2.5699999,317,89,58,546,15-11,2
2.4066668,55,6,1,40,12-11,55
2.0366666,12,8,0,47,6-11,60
2.6099999,185,97,34,335,3-11,4
2.4533334,0,0,0,0,1-11,1
2.9666667,4,1,0,12,17-11,4
2.9766667,10,1,0,15,5-11,10
2.2833333,3,1,0,4,9-11,3
4.4099998,50,37,5,134,22-11,110
3.8699999,5,5,0,19,23-11,32
5.3000002,6,3,0,13,19-11,10
5.7967744,224,74,14,199,8-12,421
3.5483871,16,5,0,21,18-12,16
6.0354838,20,7,1,49,4-12,99
4.3451614,295,92,28,590,15-12,295
3.848387,53,9,5,56,12-12,53
3.7580645,7,6,2,49,6-12,51
4.770968,249,183,54,592,3-12,1
4.2548389,0,0,0,0,1-12,1
5.5741935,8,2,0,12,17-12,8
5.4548388,7,0,0,23,5-12,7
4.1516128,3,1,0,7,9-12,3
3.7935483,47,25,9,161,22-12,142
2.9387097,7,2,1,23,23-12,21
5.2000003,10,5,0,12,19-12,12
